epoch,step,test_loss/dataloader_idx_0,test_loss/dataloader_idx_1,test_loss/dataloader_idx_2,test_loss/dataloader_idx_3,train_loss
1,49,,,,,5.649781227111816
2,99,,,,,5.101565361022949
3,149,,,,,4.603120803833008
4,199,,,,,4.505612850189209
5,249,,,,,4.419671535491943
6,299,,,,,4.143712520599365
7,349,,,,,4.076552867889404
9,399,,,,,3.9520535469055176
10,440,3.6751115322113037,4.678398132324219,4.961976051330566,4.983608722686768,
