epoch,step,test_loss/dataloader_idx_0,test_loss/dataloader_idx_1,test_loss/dataloader_idx_2,test_loss/dataloader_idx_3,train_loss
1,49,,,,,5.551398754119873
2,99,,,,,5.17396354675293
3,149,,,,,5.02492618560791
4,199,,,,,4.902841567993164
5,249,,,,,4.820046901702881
6,299,,,,,4.713551044464111
7,349,,,,,4.614398956298828
8,399,,,,,4.530206680297852
9,449,,,,,4.505504131317139
10,480,5.9127349853515625,4.348381042480469,5.657722473144531,4.641195774078369,
