epoch,step,test_loss/dataloader_idx_0,test_loss/dataloader_idx_1,test_loss/dataloader_idx_2,test_loss/dataloader_idx_3,train_loss
0,49,,,,,4.779070854187012
1,99,,,,,4.5945353507995605
2,149,,,,,4.1329498291015625
3,199,,,,,3.7437100410461426
4,249,,,,,3.7732293605804443
5,299,,,,,3.3651199340820312
6,349,,,,,3.3476181030273438
7,399,,,,,3.4169180393218994
8,449,,,,,3.1869451999664307
9,499,,,,,3.2293426990509033
10,510,2.984100341796875,6.12037467956543,3.9300200939178467,5.934554100036621,
