source,tokenizer,token,count
pantip,pantip_unigram,คุย,379
pantip,pantip_unigram,เล่น,302
pantip,pantip_unigram,เสียง,139
pantip,pantip_unigram,ัง,728
pantip,pantip_unigram,งาน,705
pantip,pantip_unigram,▁หลังจาก,95
pantip,pantip_unigram,เริ่ม,299
pantip,pantip_unigram,20,417
pantip,pantip_unigram,วัน,766
pantip,pantip_unigram,▁เรา,949
pantip,pantip_unigram,โดย,401
pantip,pantip_unigram,พื้น,97
pantip,pantip_unigram,ฐาน,95
pantip,pantip_unigram,▁แต่,1367
pantip,pantip_unigram,ถ้า,336
pantip,pantip_unigram,เรื่อง,876
pantip,pantip_unigram,ส่วนตัว,115
pantip,pantip_unigram,นี่,286
pantip,pantip_unigram,่ง,392
pantip,pantip_unigram,ทํางาน,360
pantip,pantip_unigram,น้อง,295
pantip,pantip_unigram,ใหม่,364
pantip,pantip_unigram,นึง,267
pantip,pantip_unigram,เก,356
pantip,pantip_unigram,ีย,791
pantip,pantip_unigram,นะ,518
pantip,pantip_unigram,ิ่ง,287
pantip,pantip_unigram,คํา,462
pantip,pantip_unigram,ทําให้,400
pantip,pantip_unigram,คิดว่า,215
pantip,pantip_unigram,ัน,668
pantip,pantip_unigram,หรือ,567
pantip,pantip_unigram,ทําไม,256
pantip,pantip_unigram,่อ,474
pantip,pantip_unigram,เสีย,295
pantip,pantip_unigram,เราก็,486
pantip,pantip_unigram,เฉย,50
pantip,pantip_unigram,ม,4314
pantip,pantip_unigram,คือ,738
pantip,pantip_unigram,กําลัง,262
pantip,pantip_unigram,โทรศัพท์,55
pantip,pantip_unigram,ลูกค้า,117
pantip,pantip_unigram,จุด,133
pantip,pantip_unigram,นั้น,737
pantip,pantip_unigram,พวก,160
pantip,pantip_unigram,ออก,529
pantip,pantip_unigram,ตัว,876
pantip,pantip_unigram,แรง,138
pantip,pantip_unigram,ปล่อย,92
pantip,pantip_unigram,ตาม,643
pantip,pantip_unigram,ณ,603
pantip,pantip_unigram,ตัวเอง,249
pantip,pantip_unigram,ต้อง,1230
pantip,pantip_unigram,อด,341
pantip,pantip_unigram,สถาน,90
pantip,pantip_unigram,การ,2187
pantip,pantip_unigram,คง,185
pantip,pantip_unigram,หา,859
pantip,pantip_unigram,ยา,611
pantip,pantip_unigram,ความคิดเห็น,41
pantip,pantip_unigram,ค่ะ,1515
pantip,pantip_unigram,บาง,329
pantip,pantip_unigram,ครั้ง,364
pantip,pantip_unigram,คิด,442
pantip,pantip_unigram,โลก,126
pantip,pantip_unigram,สูง,164
pantip,pantip_unigram,เกิน,149
pantip,pantip_unigram,สังคม,73
pantip,pantip_unigram,ช,1909
pantip,pantip_unigram,วน,321
pantip,pantip_unigram,สนใจ,138
pantip,pantip_unigram,สิ่งที่,108
pantip,pantip_unigram,เลือก,292
pantip,pantip_unigram,เพื่อน,595
pantip,pantip_unigram,เด,349
pantip,pantip_unigram,น่า,211
pantip,pantip_unigram,ใหญ่,188
pantip,pantip_unigram,เเล้ว,173
pantip,pantip_unigram,้า,1328
pantip,pantip_unigram,เส,389
pantip,pantip_unigram,ื้อ,188
pantip,pantip_unigram,▁แก้ไข,325
pantip,pantip_unigram,ข้อความ,392
pantip,pantip_unigram,เมื่อ,660
pantip,pantip_unigram,เรียน,502
pantip,pantip_unigram,พิเศษ,50
pantip,pantip_unigram,สอบ,560
pantip,pantip_unigram,ติด,456
pantip,pantip_unigram,มั้ย,253
pantip,pantip_unigram,▁สวัสดีค่ะ,78
pantip,pantip_unigram,สอบถาม,203
pantip,pantip_unigram,ข้อสอบ,169
pantip,pantip_unigram,▁แนวข้อสอบ,306
pantip,pantip_unigram,นะคะ,445
pantip,pantip_unigram,มาก,1168
pantip,pantip_unigram,▁ถ้า,379
pantip,pantip_unigram,ช่อง,153
pantip,pantip_unigram,แนะนํา,309
pantip,pantip_unigram,มั้ยคะ,134
pantip,pantip_unigram,โควิด,90
pantip,pantip_unigram,จะมี,250
pantip,pantip_unigram,์,1594
pantip,pantip_unigram,ไ,865
pantip,pantip_unigram,ั,1519
pantip,pantip_unigram,ของ,1872
pantip,pantip_unigram,ซ,1250
pantip,pantip_unigram,ตามหัวข้อเลย,65
pantip,pantip_unigram,รึเปล่า,46
pantip,pantip_unigram,มีใคร,146
pantip,pantip_unigram,จ่าย,207
pantip,pantip_unigram,แ,2346
pantip,pantip_unigram,อ,2899
pantip,pantip_unigram,พ,1904
pantip,pantip_unigram,-,1503
pantip,pantip_unigram,สามารถ,441
pantip,pantip_unigram,อม,427
pantip,pantip_unigram,ขึ้น,725
pantip,pantip_unigram,ร์,445
pantip,pantip_unigram,้,1689
pantip,pantip_unigram,ระ,359
pantip,pantip_unigram,รวม,208
pantip,pantip_unigram,ถึง,775
pantip,pantip_unigram,t,1681
pantip,pantip_unigram,r,349
pantip,pantip_unigram,u,1120
pantip,pantip_unigram,on,532
pantip,pantip_unigram,y,692
pantip,pantip_unigram,เอง,318
pantip,pantip_unigram,เดียว,317
pantip,pantip_unigram,ลง,568
pantip,pantip_unigram,▁2,596
pantip,pantip_unigram,พึ่ง,64
pantip,pantip_unigram,จบ,217
pantip,pantip_unigram,สมัคร,182
pantip,pantip_unigram,ยังไง,316
pantip,pantip_unigram,สาขา,52
pantip,pantip_unigram,วิ,411
pantip,pantip_unigram,ะ,1453
pantip,pantip_unigram,ความรู้,147
pantip,pantip_unigram,แนว,125
pantip,pantip_unigram,▁เพราะ,462
pantip,pantip_unigram,กลัว,174
pantip,pantip_unigram,เขียน,79
pantip,pantip_unigram,โปร,116
pantip,pantip_unigram,กร,329
pantip,pantip_unigram,I,425
pantip,pantip_unigram,T,565
pantip,pantip_unigram,ซ่อม,54
pantip,pantip_unigram,เพราะ,382
pantip,pantip_unigram,เกี่ยวกับ,283
pantip,pantip_unigram,ต่างๆ,129
pantip,pantip_unigram,รู้,430
pantip,pantip_unigram,ษ,384
pantip,pantip_unigram,ผ่าน,344
pantip,pantip_unigram,▁อยาก,347
pantip,pantip_unigram,อน,620
pantip,pantip_unigram,น่ะ,63
pantip,pantip_unigram,ี,911
pantip,pantip_unigram,เอ,311
pantip,pantip_unigram,สาร,135
pantip,pantip_unigram,ธ,414
pantip,pantip_unigram,สอง,178
pantip,pantip_unigram,"""",446
pantip,pantip_unigram,อง,348
pantip,pantip_unigram,แก้,120
pantip,pantip_unigram,ริ,485
pantip,pantip_unigram,เท่า,160
pantip,pantip_unigram,ตอนนี้,406
pantip,pantip_unigram,นาง,199
pantip,pantip_unigram,ฯ,128
pantip,pantip_unigram,เบ,276
pantip,pantip_unigram,ญ,508
pantip,pantip_unigram,ฟ,673
pantip,pantip_unigram,รา,534
pantip,pantip_unigram,น่าจะ,122
pantip,pantip_unigram,สาย,202
pantip,pantip_unigram,่,1368
pantip,pantip_unigram,สําคัญ,133
pantip,pantip_unigram,เหมือน,554
pantip,pantip_unigram,อีก,647
pantip,pantip_unigram,ู่,303
pantip,pantip_unigram,พระเอก,65
pantip,pantip_unigram,ตอน,560
pantip,pantip_unigram,▁(,783
pantip,pantip_unigram,ข,1356
pantip,pantip_unigram,ผ,612
pantip,pantip_unigram,),1136
pantip,pantip_unigram,จัดส่ง,89
pantip,pantip_unigram,อยู่ใน,138
pantip,pantip_unigram,shop,46
pantip,pantip_unigram,ซื้อ,484
pantip,pantip_unigram,จาก,1149
pantip,pantip_unigram,บัตร,112
pantip,pantip_unigram,อ่ะ,139
pantip,pantip_unigram,สั่ง,183
pantip,pantip_unigram,บ้าน,574
pantip,pantip_unigram,(,337
pantip,pantip_unigram,ส่ง,382
pantip,pantip_unigram,ไหมคะ,160
pantip,pantip_unigram,หุ้น,166
pantip,pantip_unigram,แบงค์,60
pantip,pantip_unigram,เตรียม,107
pantip,pantip_unigram,ตลาด,77
pantip,pantip_unigram,คุณ,283
pantip,pantip_unigram,ฟัง,162
pantip,pantip_unigram,อ่าน,250
pantip,pantip_unigram,ฤ,115
pantip,pantip_unigram,ฎ,78
pantip,pantip_unigram,รี,433
pantip,pantip_unigram,B,550
pantip,pantip_unigram,k,731
pantip,pantip_unigram,เปิด,304
pantip,pantip_unigram,เข้าใจ,188
pantip,pantip_unigram,กลุ่ม,149
pantip,pantip_unigram,เหลือ,148
pantip,pantip_unigram,อื่น,178
pantip,pantip_unigram,จน,487
pantip,pantip_unigram,เม,402
pantip,pantip_unigram,อย่า,128
pantip,pantip_unigram,เชื่อ,143
pantip,pantip_unigram,สิ,261
pantip,pantip_unigram,ภัย,103
pantip,pantip_unigram,ี้,285
pantip,pantip_unigram,สําหรับ,210
pantip,pantip_unigram,ดู,838
pantip,pantip_unigram,เเ,426
pantip,pantip_unigram,ทาง,592
pantip,pantip_unigram,สัก,163
pantip,pantip_unigram,หน่อย,467
pantip,pantip_unigram,ช่วง,339
pantip,pantip_unigram,ถ,513
pantip,pantip_unigram,ย์,273
pantip,pantip_unigram,ผล,365
pantip,pantip_unigram,ฑ,31
pantip,pantip_unigram,กรรม,86
pantip,pantip_unigram,ผู้,562
pantip,pantip_unigram,ข้อมูล,150
pantip,pantip_unigram,เพื่อ,364
pantip,pantip_unigram,ด้วย,946
pantip,pantip_unigram,🙏,68
pantip,pantip_unigram,[,146
pantip,pantip_unigram,C,241
pantip,pantip_unigram,],146
pantip,pantip_unigram,A,622
pantip,pantip_unigram,m,856
pantip,pantip_unigram,แรก,282
pantip,pantip_unigram,25,239
pantip,pantip_unigram,3,1214
pantip,pantip_unigram,มิถุนายน,54
pantip,pantip_unigram,โทร,172
pantip,pantip_unigram,ื่น,174
pantip,pantip_unigram,เยอะ,271
pantip,pantip_unigram,กว่า,444
pantip,pantip_unigram,ค่า,438
pantip,pantip_unigram,คนอื่น,133
pantip,pantip_unigram,$,54
pantip,pantip_unigram,d,841
pantip,pantip_unigram,o,1830
pantip,pantip_unigram,c,955
pantip,pantip_unigram,ment,51
pantip,pantip_unigram,re,352
pantip,pantip_unigram,ad,168
pantip,pantip_unigram,f,618
pantip,pantip_unigram,i,1432
pantip,pantip_unigram,{,52
pantip,pantip_unigram,',213
pantip,pantip_unigram,s,1989
pantip,pantip_unigram,el,153
pantip,pantip_unigram,ra,195
pantip,pantip_unigram,O,363
pantip,pantip_unigram,l,852
pantip,pantip_unigram,",",610
pantip,pantip_unigram,;,320
pantip,pantip_unigram,},52
pantip,pantip_unigram,สินค้า,116
pantip,pantip_unigram,:,507
pantip,pantip_unigram,คะแนน,96
pantip,pantip_unigram,am,195
pantip,pantip_unigram,g,564
pantip,pantip_unigram,review,48
pantip,pantip_unigram,ar,381
pantip,pantip_unigram,in,421
pantip,pantip_unigram,h,630
pantip,pantip_unigram,ight,43
pantip,pantip_unigram,▁1.,206
pantip,pantip_unigram,co,130
pantip,pantip_unigram,or,391
pantip,pantip_unigram,#,259
pantip,pantip_unigram,z,169
pantip,pantip_unigram,▁1,619
pantip,pantip_unigram,x,245
pantip,pantip_unigram,▁C,339
pantip,pantip_unigram,er,367
pantip,pantip_unigram,v,443
pantip,pantip_unigram,w,710
pantip,pantip_unigram,กระทู้,225
pantip,pantip_unigram,รีวิว,89
pantip,pantip_unigram,เจ้า,168
pantip,pantip_unigram,ไม่ใช่,157
pantip,pantip_unigram,เช่น,219
pantip,pantip_unigram,และ,791
pantip,pantip_unigram,ประโยชน์,54
pantip,pantip_unigram,ใด,154
pantip,pantip_unigram,เพิ่มเติม,84
pantip,pantip_unigram,เที่ยว,157
pantip,pantip_unigram,สุดท้าย,79
pantip,pantip_unigram,แม่,454
pantip,pantip_unigram,เดิม,158
pantip,pantip_unigram,แหละ,85
pantip,pantip_unigram,ชีวิต,183
pantip,pantip_unigram,ออกมา,166
pantip,pantip_unigram,มือ,250
pantip,pantip_unigram,ถือ,213
pantip,pantip_unigram,นอก,181
pantip,pantip_unigram,ลอง,221
pantip,pantip_unigram,ละ,547
pantip,pantip_unigram,ตั้ง,327
pantip,pantip_unigram,น้ํา,556
pantip,pantip_unigram,+,210
pantip,pantip_unigram,กิน,291
pantip,pantip_unigram,สังเกต,59
pantip,pantip_unigram,เช้า,77
pantip,pantip_unigram,...,306
pantip,pantip_unigram,เดิน,224
pantip,pantip_unigram,นั่ง,140
pantip,pantip_unigram,ข้าว,96
pantip,pantip_unigram,รถ,406
pantip,pantip_unigram,นัก,228
pantip,pantip_unigram,นา,520
pantip,pantip_unigram,ตลอด,260
pantip,pantip_unigram,มอง,193
pantip,pantip_unigram,เห็น,442
pantip,pantip_unigram,หน้า,573
pantip,pantip_unigram,บุ,230
pantip,pantip_unigram,๊,395
pantip,pantip_unigram,ัด,503
pantip,pantip_unigram,ตอบ,287
pantip,pantip_unigram,รูป,270
pantip,pantip_unigram,เพิ่ง,88
pantip,pantip_unigram,โพสต์,31
pantip,pantip_unigram,/,1058
